index;adc
0;1498
1;1498
2;1497
3;1498
4;1497
5;1497
6;1496
7;1496
8;1496
9;1495
10;1495
11;1494
12;1494
13;1494
14;1494
15;1494
16;1494
17;1493
18;1493
19;1493
20;1493
21;1493
22;1493
23;1493
24;1493
25;1493
26;1493
27;1494
28;1494
29;1494
30;1494
31;1495
32;1495
33;1495
34;1496
35;1496
36;1496
37;1497
38;1497
39;1497
40;1498
41;1498
42;1498
43;1498
44;1499
45;1499
46;1499
47;1499
48;1499
49;1499
50;1499
51;1499
52;1499
53;1499
54;1498
55;1498
56;1498
57;1498
58;1498
59;1497
60;1497
61;1497
62;1497
63;1496
64;1495
65;1496
66;1495
67;1495
68;1495
69;1495
70;1495
71;1495
72;1495
73;1494
74;1494
75;1494
76;1495
77;1494
78;1495
79;1495
80;1495
81;1496
82;1495
83;1496
84;1497
85;1497
86;1497
87;1498
88;1498
89;1498
90;1498
91;1498
92;1498
93;1499
94;1498
95;1499
96;1498
97;1498
98;1499
99;1498
100;1498
101;1498
102;1498
103;1498
104;1497
105;1497
106;1497
107;1496
108;1496
109;1495
110;1495
111;1495
112;1494
113;1494
114;1494
115;1494
116;1493
117;1493
118;1493
119;1492
120;1492
121;1493
122;1492
123;1492
124;1492
125;1493
126;1492
127;1492
128;1492
129;1493
130;1493
131;1493
132;1493
133;1494
134;1494
135;1495
136;1495
137;1495
138;1495
139;1496
140;1496
141;1496
142;1496
143;1496
144;1496
145;1496
146;1496
147;1496
148;1496
149;1496
150;1496
151;1496
152;1496
153;1496
154;1495
155;1495
156;1495
157;1495
158;1494
159;1493
160;1493
161;1493
162;1493
163;1492
164;1492
165;1492
166;1492
167;1491
168;1491
169;1491
170;1491
171;1491
172;1491
173;1491
174;1491
175;1491
176;1491
177;1491
178;1492
179;1492
180;1492
181;1492
182;1492
183;1493
184;1494
185;1494
186;1494
187;1494
188;1495
189;1495
190;1495
191;1496
192;1496
193;1496
194;1496
195;1496
196;1496
197;1496
198;1496
199;1497
200;1497
201;1496
202;1496
203;1496
204;1496
205;1496
206;1496
207;1495
208;1495
209;1495
210;1494
211;1494
212;1494
213;1494
214;1494
215;1493
216;1493
217;1493
218;1492
219;1492
220;1493
221;1492
222;1493
223;1492
224;1492
225;1493
226;1492
227;1493
228;1493
229;1493
230;1493
231;1494
232;1494
233;1494
234;1495
235;1495
236;1496
237;1497
238;1497
239;1497
240;1497
241;1497
242;1498
243;1498
244;1498
245;1498
246;1498
247;1498
248;1498
249;1498
250;1498
251;1498
252;1498
253;1498
254;1498
255;1497
256;1497
257;1497
258;1496
259;1496
260;1495
261;1495
262;1494
263;1494
264;1494
265;1494
266;1493
267;1493
268;1493
269;1493
270;1493
271;1492
272;1492
273;1492
274;1492
275;1492
276;1492
277;1492
278;1492
279;1493
280;1493
281;1493
282;1493
283;1494
284;1494
285;1494
286;1495
287;1495
288;1495
289;1496
290;1496
291;1496
292;1497
293;1497
294;1497
295;1497
296;1497
297;1497
298;1497
299;1497
300;1497
301;1497
302;1497
303;1497
304;1497
305;1497
306;1496
307;1496
308;1496
309;1495
310;1495
311;1495
312;1494
313;1494
314;1494
315;1494
316;1493
317;1493
318;1493
319;1493
320;1493
321;1493
322;1493
323;1493
324;1492
325;1492
326;1493
327;1493
328;1493
329;1493
330;1493
331;1494
332;1494
333;1494
334;1495
335;1495
336;1495
337;1495
338;1496
339;1496
340;1497
341;1496
342;1497
343;1497
344;1497
345;1497
346;1497
347;1497
348;1497
349;1497
350;1497
351;1497
352;1497
353;1497
354;1497
355;1497
356;1497
357;1497
358;1496
359;1496
360;1496
361;1495
362;1495
363;1495
364;1495
365;1494
366;1494
367;1494
368;1493
369;1493
370;1493
371;1493
372;1493
373;1493
374;1493
375;1493
376;1493
377;1493
378;1493
379;1493
380;1494
381;1494
382;1494
383;1494
384;1495
385;1495
386;1495
387;1496
388;1496
389;1496
390;1497
391;1498
392;1498
393;1498
394;1498
395;1499
396;1498
397;1499
398;1499
399;1499
400;1499
401;1499
402;1499
403;1499
404;1499
405;1498
406;1499
407;1498
408;1498
409;1497
410;1497
411;1496
412;1496
413;1496
414;1495
415;1495
416;1495
417;1495
418;1494
419;1494
420;1494
421;1494
422;1494
423;1494
424;1494
425;1494
426;1494
427;1494
428;1494
429;1494
430;1494
431;1495
432;1495
433;1495
434;1496
435;1496
436;1496
437;1497
438;1497
439;1497
440;1498
441;1498
442;1498
443;1498
444;1498
445;1498
446;1498
447;1499
448;1499
449;1499
450;1499
451;1499
452;1499
453;1499
454;1499
455;1499
456;1499
457;1498
458;1498
459;1498
460;1497
461;1497
462;1497
463;1497
464;1496
465;1496
466;1495
467;1495
468;1495
469;1495
470;1495
471;1495
472;1495
